적재_연월,대여_STATION_번호,대여_STATION_명,X축좌표,Y축좌표,대여소_설치일,대여소_폐쇄일,거치대_수,운영여부,시스템_구분
20251219,SJ_00474,새롬동_새뜸 306동 앞,127.248062,36.485904,,,,운영중,
20251219,SJ_00475,새롬동_새뜸 726동앞 로터리,127.24704625,36.48981435,,,,운영중,
20251219,SJ_00476,새롬동_새뜸 718동 앞,127.247783,36.488171,,,,운영중,
20251219,SJ_00477,소담동_새샘 609동 앞,127.3025575,36.4854384,,,,운영중,
20251219,SJ_00478,새롬동_새뜸 302동 앞,127.247664,36.486589,,,,운영중,
20251219,SJ_00479,새롬동_새뜸 208동 앞 로터리,127.249288,36.483121,,,,운영중,
20251219,SJ_00480,보람동_세종시청 정문2,127.288709,36.478800,,,,운영중,
20251219,SJ_00481,소담동_소담동 타임빌딩 앞,127.299956,36.485073,,,,운영중,
20251219,SJ_00482,반곡동_수루배 506동 앞,127.313054,36.497527,,,,운영중,
20251219,SJ_00483,어진동_중앙동 임시주차장 입구,127.267260,36.500524,,,,운영중,
20251219,SJ_00484,어진동_중앙동 임시주차장 건너편,127.267736,36.500118,,,,운영중,
20251219,SJ_00485,종촌동_중앙프라자 앞,127.249603,36.504880,,,,운영중,
20251219,SJ_00486,도담동_도램2007동 앞,127.264161,36.516144,,,,운영중,
20251219,SJ_00487,반곡동_수루배209동 ,127.310056,36.495990,,,,운영중,
20251219,SJ_00488,대평동_해들205동,127.276990,36.470950,,,,운영중,
20251219,SJ_00489,보람동_해들510동,127.282393,36.474437,,,,운영중,
20251219,SJ_00490,보람동_호려울308동,127.283190,36.477265,,,,운영중,
20251219,SJ_00491,소담동_새샘201동,127.300929,36.481362,,,,운영중,
20251219,SJ_00492,종촌동_가재301동,127.241516,36.505046,,,,운영중,
20251219,SJ_00493,어진동_엠브릿지,127.258063,36.503066,,,,운영중,
20251219,SJ_00494,세종동_세종예술고 후문옆 로터리,127.2695944,36.4913596,,,,운영중,
20251219,SJ_00495,어진동_홈플러스,127.258243,36.507789,,,,운영중,
20251219,SJ_00496,아름동_범지기1013동,127.252117,36.517449,,,,운영중,
20251219,SJ_00497,아름동_범지기308동,127.245502,36.517797,,,,운영중,
20251219,SJ_00498,아름동_범지기902동,127.245721,36.517323,,,,운영중,
20251219,SJ_00499,아름동_영토프라자앞 로터리,127.243027,36.510859,,,,운영중,
20251219,SJ_00500,고운동_가락2203동,127.241161,36.519924,,,,운영중,
20251219,SJ_00501,반곡동_수루배601동,127.318591,36.494163,,,,운영중,
20251219,SJ_00502,어진동_지방자치회관,127.262997,36.493776,,,,운영중,
20251219,SJ_00503,고운동_한마음정육식당,127.236325,36.500387,,,,운영중,
20251219,SJ_00504,나성동_독락정역사공원,127.266804,36.484644,,,,운영중,
20251219,SJ_00505,고운동_세종누리학교,127.242839,36.525969,,,,운영중,
20251219,SJ-00769,반곡동 조세재정연구원 인근,127.3020648,36.4928953,,,,운영중,
20251219,SJ_00888,어울링 ,127.260913,36.515929,,,,미운영,
20251219,SJ_409,대평동_복합커뮤티센터,127.279640,36.470920,,,,운영중,
20251219,SJ_412,소담동_복합커뮤니티센터,127.300812,36.483993,,,,운영중,
20251219,SJ_413,어진동_어진교차로,127.259272,36.498197,,,,운영중,
20251219,SJ_HYUNDAI1,HYUNDAI1,126.88130704505716,37.48223372390922,,,,미운영,
20251219,SJ-00001,임시대여소(4/27 중앙공원 도시 축제 마당),127.27502,36.490595,,,,미운영,
20251219,SJ-00045,대평동_세종고속시외버스터미널 건너편,127.2743513,36.4689939,,,,운영중,
20251219,SJ-00681,산울동 세종자이더시티 206동 앞,127.259398,36.531011,,,,운영중,
20251219,SJ-00682,산울동-해밀동 BRT,127.26365890,36.52866640,,,,운영중,
20251219,SJ-00689,금남면_호탄리,127.2993574,36.4723544,,,,운영중,
20251219,SJ-00690,반곡동_수루배마을 901동앞,127.317445,36.4989733,,,,운영중,
20251219,SJ-00691,다정동_가온마을 614동 입구,127.2470679,36.4960905,,,,운영중,
20251219,SJ-00692,보람동_보람중학교,127.2937262,36.4784711,,,,운영중,
20251219,SJ-00693,어진동_세종비지니스센터,127.2654343,36.4958458,,,,운영중,
20251219,SJ-00694,반곡동_반곡동 복합커뮤니티센터 앞,127.310596,36.4983146,,,,운영중,
20251219,SJ-00695,조치원_세종특별자치시교육청교육원입구,127.2863384,36.6046397,,,,운영중,
20251219,SJ-00696,보람동_세종시교육청진로교육원 맞은편,127.2846222,36.4789683,,,,운영중,
20251219,SJ-00697,보람동_세종세무서 맞은편,127.2855563,36.4793709,,,,운영중,
20251219,SJ-00698,소담동_한국전력공사 앞,127.3045471,36.4850143,,,,운영중,
20251219,SJ-00699,집현동_세종이음학교 앞,127.3360287,36.4993626,,,,운영중,
20251219,SJ-00700,반곡동_한국개발연구원 앞,127.3099295,36.482131,,,,운영중,
20251219,SJ-00704,고운동_가락마을1209동앞 로터리,127.2335764,36.5111643,,,,운영중,
20251219,SJ-00706,세종동_세종전통문화체험관 햇무리교방향(임시버스정류장),127.2835151,36.5038572,,,,운영중,
20251219,SJ-00707,어진동_한뜰마을 5단지 대로변,127.2561579,36.4984785,,,,운영중,
20251219,SJ-00708,나성동_도시상징광장,127.2633784,36.4856009,,,,운영중,
20251219,SJ-00709,조치원_세종시보건환경연구원,127.283015,36.6029263,,,,운영중,
20251219,SJ-00710,세종동_중앙공원 야구장 축구장 사이,127.277401,36.4975815,,,,운영중,
20251219,SJ-00711,세종동_중앙공원 장남평야 인근,127.2724094,36.4923742,,,,운영중,
20251219,SJ-00712,광역복지지원센터 앞,127.318015,36.4957768,,,,운영중,
20251219,SJ-00713,도램마을 15단지 1509동 앞,127.2660955,36.5135184,,,,운영중,
20251219,SJ-00714,해들마을 603동 앞,127.2781144,36.4758528,,,,운영중,
20251219,SJ-00715,소담동_새샘마을 1단지 정류장,127.2997686,36.4807751,,,,운영중,
20251219,SJ-00716,나성동_제이빌딩 앞 버스정류장,127.258191,36.4912108,,,,운영중,
20251219,SJ-00717,어진동 세종마치 앞,127.2715927,36.5039204,,,,운영중,
20251219,SJ_00506,대평동_대평초등학교,127.2779084,36.4699655,,,,운영중,
20251219,SJ-00718,보람중학교 옆,127.2922,36.4778,,,,운영중,
20251219,SJ_00507,도담동_싱싱장터1호점,127.259974,36.515383,,,,운영중,
20251219,SJ-00735,어진동_ 어진중학교 정문앞,127.2556899,36.4978864,,,,운영중,
20251219,SJ-00737,집현동_세종공동캠퍼스 한밭대,127.3344034,36.5035892,,,,운영중,
20251219,SJ-00738,집현동_세종공동캠퍼스 충북대,127.3338611,36.5026071,,,,운영중,
20251219,SJ-00739,집현동_세종공동캠퍼스 충남대,127.3331549,36.5021935,,,,미운영,
20251219,SJ-00740,집현동_세종공동캠퍼스 학생회관 동측,127.3327092,36.500926,,,,운영중,
20251219,SJ-00741,집현동_세종공동캠퍼스 학생회관 북동측,127.3330062,36.5010741,,,,운영중,
20251219,SJ-00742,집현동_세종공동캠퍼스 체육관 서측,127.3290768,36.5014279,,,,운영중,
20251219,SJ-00743,"산울동_산울마을 7단지,712동 앞",127.265435,36.530347,,,,운영중,
